x-axis,1,2,3
second,Volt,Volt,Volt
-1.856250E+00,+1.356941E+00,+4.502670E+00,-4.868E-03
-1.854688E+00,+1.356941E+00,+4.502670E+00,-4.868E-03
-1.853125E+00,+1.356941E+00,+4.502670E+00,-4.868E-03
-1.851563E+00,+1.356941E+00,+4.502670E+00,-4.868E-03
-1.850000E+00,+1.356941E+00,+4.502670E+00,-4.868E-03
-1.848438E+00,+1.356941E+00,+4.502670E+00,-4.868E-03
-1.846875E+00,+1.356941E+00,+4.502670E+00,-4.868E-03
-1.845313E+00,+1.356941E+00,+4.502670E+00,-4.868E-03
-1.843750E+00,+1.356941E+00,+4.502670E+00,-9.893E-03
-1.842188E+00,+1.356941E+00,+4.502670E+00,-9.893E-03
-1.840625E+00,+1.356941E+00,+4.502670E+00,-4.868E-03
-1.839063E+00,+1.356941E+00,+4.502670E+00,-4.868E-03
-1.837500E+00,+1.356941E+00,+4.502670E+00,-4.868E-03
-1.835938E+00,+1.356941E+00,+4.502670E+00,-4.868E-03
-1.834375E+00,+1.356941E+00,+4.502670E+00,-4.868E-03
-1.832813E+00,+1.356941E+00,+4.502670E+00,-4.868E-03
-1.831250E+00,+1.356941E+00,+4.502670E+00,-4.868E-03
-1.829688E+00,+1.356941E+00,+4.502670E+00,-4.868E-03
-1.828125E+00,+1.341866E+00,+4.502670E+00,+157E-06
-1.826563E+00,+1.336840E+00,+4.502670E+00,+10.207E-03
-1.825000E+00,+1.336840E+00,+4.502670E+00,+10.207E-03
-1.823438E+00,+1.336840E+00,+4.502670E+00,+5.182E-03
-1.821875E+00,+1.336840E+00,+4.502670E+00,+10.207E-03
-1.820313E+00,+1.336840E+00,+4.502670E+00,+10.207E-03
-1.818750E+00,+1.336840E+00,+4.502670E+00,+10.207E-03
-1.817188E+00,+1.336840E+00,+4.502670E+00,+5.182E-03
-1.815625E+00,+1.336840E+00,+4.502670E+00,+5.182E-03
-1.814063E+00,+1.336840E+00,+4.502670E+00,+5.182E-03
-1.812500E+00,+1.336840E+00,+4.502670E+00,+5.182E-03
-1.810938E+00,+1.336840E+00,+4.502670E+00,+5.182E-03
-1.809375E+00,+1.336840E+00,+4.502670E+00,+10.207E-03
-1.807813E+00,+1.336840E+00,+4.502670E+00,+10.207E-03
-1.806250E+00,+1.336840E+00,+4.502670E+00,+10.207E-03
-1.804688E+00,+1.336840E+00,+4.502670E+00,+10.207E-03
-1.803125E+00,+1.336840E+00,+4.502670E+00,+5.182E-03
-1.801563E+00,+1.336840E+00,+4.502670E+00,+10.207E-03
-1.800000E+00,+1.336840E+00,+4.502670E+00,+5.182E-03
-1.798438E+00,+1.336840E+00,+4.502670E+00,+5.182E-03
-1.796875E+00,+1.407192E+00,+4.502670E+00,-14.918E-03
-1.795313E+00,+1.422268E+00,+4.502670E+00,-19.943E-03
-1.793750E+00,+1.422268E+00,+4.502670E+00,-19.943E-03
-1.792188E+00,+1.422268E+00,+4.502670E+00,-19.943E-03
-1.790625E+00,+1.422268E+00,+4.502670E+00,-19.943E-03
-1.789063E+00,+1.427293E+00,+4.502670E+00,-19.943E-03
-1.787500E+00,+1.427293E+00,+4.502670E+00,-19.943E-03
-1.785938E+00,+1.422268E+00,+4.502670E+00,-19.943E-03
-1.784375E+00,+1.422268E+00,+4.502670E+00,-19.943E-03
-1.782813E+00,+1.422268E+00,+4.502670E+00,-19.943E-03
